participant,Group,Epoch,OA_Total_mean_raw,OA_Total_RMSE_raw,OA_Total_slope,OA_Total_r,OA_Total_P_0_1Hz,OA_Total_P_1_3Hz,OA_Total_P_3_7Hz,OA_Total_P_7_12Hz,OA_Total_P_12_20Hz,OA_Coh_0_1Hz,OA_Coh_1_3Hz,OA_Coh_3_7Hz,OA_Coh_7_12Hz,OA_Coh_12_20Hz,OA_F_alvo_mean,OF_Total_mean_raw,OF_Total_RMSE_raw,OF_Total_slope,OF_Total_r,OF_Total_p,OF_Total_P_0_1Hz,OF_Total_P_1_3Hz,OF_Total_P_3_7Hz,OF_Total_P_7_12Hz,OF_Total_P_12_20Hz,OF_Coh_0_1Hz,OF_Coh_1_3Hz,OF_Coh_3_7Hz,OF_Coh_7_12Hz,OF_Coh_12_20Hz,OF_F_alvo_mean
3,Placebo,PRE,26.87107911,5.406249157,-0.277129126,-0.341849743,7.511104278,0.060181616,0.006854522,0.002316002,0.001918648,0.810349698,0.666792421,0.50908421,0.436891845,0.16181758,29.7,27.33954257,2.660760696,-0.123132739,-0.874260409,0,0.189910971,0.005449141,0.00211234,0.001276755,0.001239367,0.420506824,0.364894853,0.214178504,0.162817611,0.21374348,29.7
4,Placebo,PRE,40.65562828,1.236417243,-0.148548151,-0.532763963,0.545938701,0.044999634,0.010431089,0.005414313,0.0020405,0.802397689,0.650821133,0.4167429,0.40307376,0.190731937,41.1,40.2837793,2.533899598,0.161584252,0.328061782,5.74E-44,8.444262328,0.099512725,0.008900954,0.010683153,0.002066794,0.571142348,0.567874317,0.314021454,0.284933162,0.16858157,41.1
5,Placebo,PRE,51.80487919,1.244077503,-0.109146975,-0.428460501,0.526870388,0.121227925,0.016858953,0.002906924,0.00198419,0.615865914,0.583963849,0.392622052,0.093878253,0.235565226,52.2,49.30042066,3.642302147,-0.170091505,-0.757056108,2.18870765e-316,0.450672264,0.041947354,0.014562765,0.002754163,0.001757884,0.396175911,0.189709402,0.273578862,0.187146196,0.188677577,52.2
6,Placebo,PRE,31.51308104,3.756681278,-0.210336347,-0.333146958,4.355113531,0.615832417,0.031556621,0.013622081,0.002639636,0.520431887,0.863326375,0.56093536,0.459602386,0.285433136,32.4,32.38606502,0.940006907,-0.15698412,-0.865855956,0,0.208371684,0.035743364,0.004943278,0.002976188,0.003589195,0.556195497,0.468941596,0.149254916,0.19221776,0.23057043,32.4
7,Placebo,PRE,86.74995773,3.590735198,-0.87582684,-0.781332128,7.972546103,1.346712911,0.065706975,0.063098823,0.005494434,0.639597735,0.735234519,0.570076665,0.63647211,0.266445926,87.6,85.04940953,3.642683376,-0.057609138,-0.136351174,1.64E-08,5.078940461,0.368276575,0.036377726,0.01961489,0.003139048,0.582649308,0.489065651,0.221565359,0.272243188,0.246482358,87.6
8,Placebo,PRE,67.78767784,4.227807872,0.060001774,0.113703571,1.636501274,1.215088675,0.046831115,0.040288842,0.004471836,0.496117776,0.589789799,0.418244231,0.512951956,0.194581846,71.1,62.90647256,8.58561197,-0.11572095,-0.389821581,7.65E-63,1.631187379,0.178093547,0.064894871,0.044007013,0.009486294,0.582805251,0.367868141,0.169272545,0.270771951,0.230444986,71.1
9,Placebo,PRE,58.9359589,2.254044441,-0.153506888,-0.378957224,1.089972043,0.490561352,0.126903874,0.138818323,0.006418703,0.556639477,0.649184365,0.459272696,0.294541097,0.266262965,58.2,57.45481604,2.295079445,-0.312240246,-0.791537614,0,1.743339465,0.126027593,0.033919122,0.034476828,0.003318415,0.670073424,0.491742971,0.286241213,0.338221983,0.233500199,58.2
10,Placebo,PRE,44.07784963,3.297795331,0.060015766,0.110438428,2.659608663,1.071152693,0.026691495,0.006132664,0.002596126,0.899191477,0.833311933,0.525232629,0.389744346,0.193317068,45.9,41.21447682,5.528615008,-0.297706693,-0.782436551,0,2.680784922,0.067372924,0.01253962,0.004725905,0.003178411,0.70309048,0.499912481,0.269164602,0.178362897,0.205074435,45.9
11,Placebo,PRE,42.40806119,5.098801652,-0.164498358,-0.211228316,5.849045783,0.078656616,0.008066578,0.002562148,0.001457295,0.756266311,0.690335494,0.480105196,0.312135935,0.199497819,44.7,43.17299731,1.754877092,-0.00070062,-0.004284678,0.859834647,0.781382934,0.054365002,0.004420831,0.001805645,0.001442847,0.455519088,0.238947784,0.231220456,0.276183556,0.176844181,44.7
12,Placebo,PRE,24.28052216,2.530568062,-0.086630452,-0.309615575,0.367385418,0.003229373,0.00099135,0.000969144,0.00166112,0.964225502,0.712254014,0.402358722,0.219315727,0.180665181,22.2,24.11533755,1.974512943,-0.016335552,-0.364934436,9.88E-55,0.035581952,0.006802974,0.001857888,0.001832378,0.002953924,0.385316875,0.374655327,0.210371656,0.247057115,0.226372541,22.2
